Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Coney Island - Sheepshead Bay,29
Asthma and the Environment,Williamsburg - Bushwick,29.5
Asthma and the Environment,Washington Heights,23.1
Asthma and the Environment,Central Harlem - Morningside Heights,20
Asthma and the Environment,East Harlem,26.8
Asthma and the Environment,Upper West Side,18.1
Asthma and the Environment,Upper East Side,25.7
Asthma and the Environment,Chelsea - Clinton,28.8
Asthma and the Environment,Gramercy Park - Murray Hill,25.7
Asthma and the Environment,Greenwich Village - SoHo,28.8
Asthma and the Environment,Union Square - Lower East Side,45.4
Asthma and the Environment,Lower Manhattan,45.4
Asthma and the Environment,Long Island City - Astoria,31.9
Asthma and the Environment,West Queens,23.6
Asthma and the Environment,Flushing - Clearview,26.5
Asthma and the Environment,Bayside - Little Neck,25.7
Asthma and the Environment,Ridgewood - Forest Hills,18
Asthma and the Environment,Fresh Meadows,25.7
Asthma and the Environment,Southwest Queens,16.5
Asthma and the Environment,Jamaica,29.2
Asthma and the Environment,Southeast Queens,19.7
Asthma and the Environment,Rockaways,28.9
Asthma and the Environment,Port Richmond,24.9
Asthma and the Environment,Stapleton - St. George,24.9
Asthma and the Environment,Willowbrook,17.5
Asthma and the Environment,South Beach - Tottenville,17.5
Asthma and the Environment,Kingsbridge - Riverdale,20.8
Asthma and the Environment,Northeast Bronx,17.2
Asthma and the Environment,Fordham - Bronx Pk,26.1
Asthma and the Environment,Pelham - Throgs Neck,20.8
Asthma and the Environment,Crotona -Tremont,24.9
Asthma and the Environment,High Bridge - Morrisania,24.9
Asthma and the Environment,Hunts Point - Mott Haven,24.9
Asthma and the Environment,Greenpoint,25.3
Asthma and the Environment,Downtown - Heights - Slope,21.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,29
Asthma and the Environment,East New York,30.5
Asthma and the Environment,Sunset Park,44
Asthma and the Environment,Borough Park,27.5
Asthma and the Environment,East Flatbush - Flatbush,19.7
Asthma and the Environment,Canarsie - Flatlands,16.5
Asthma and the Environment,Bensonhurst - Bay Ridge,35.4
Asthma and the Environment,Coney Island - Sheepshead Bay,30
Asthma and the Environment,Williamsburg - Bushwick,25.2
Asthma and the Environment,Washington Heights,17.4
Asthma and the Environment,Central Harlem - Morningside Heights,23.3
Asthma and the Environment,East Harlem,18.8
Asthma and the Environment,Upper West Side,14.8
Asthma and the Environment,Upper East Side,16.1
Asthma and the Environment,Chelsea - Clinton,27.5
Asthma and the Environment,Gramercy Park - Murray Hill,16.1
Asthma and the Environment,Greenwich Village - SoHo,27.5
Asthma and the Environment,Union Square - Lower East Side,24.6
Asthma and the Environment,Lower Manhattan,24.6
Asthma and the Environment,Long Island City - Astoria,27.6
Asthma and the Environment,West Queens,19.2
Asthma and the Environment,Flushing - Clearview,25
Asthma and the Environment,Bayside - Little Neck,18.3
Asthma and the Environment,Ridgewood - Forest Hills,31.4
Asthma and the Environment,Fresh Meadows,18.3
Asthma and the Environment,Southwest Queens,18.7
Asthma and the Environment,Jamaica,20.3
Asthma and the Environment,Southeast Queens,17.1
Asthma and the Environment,Rockaways,24.2
Asthma and the Environment,Port Richmond,30.1
Asthma and the Environment,Stapleton - St. George,30.1
Asthma and the Environment,Willowbrook,23.8
Asthma and the Environment,South Beach - Tottenville,23.8
Asthma and the Environment,Kingsbridge - Riverdale,20.6
Asthma and the Environment,Northeast Bronx,18.2
Asthma and the Environment,Fordham - Bronx Pk,20.3
Asthma and the Environment,Pelham - Throgs Neck,21.4
Asthma and the Environment,Crotona -Tremont,19.7
Asthma and the Environment,High Bridge - Morrisania,20.8
Asthma and the Environment,Hunts Point - Mott Haven,24.6
Asthma and the Environment,Greenpoint,30
Asthma and the Environment,Downtown - Heights - Slope,22.7
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,19
Asthma and the Environment,East New York,24.8
Asthma and the Environment,Sunset Park,27
Asthma and the Environment,Borough Park,26.7
Asthma and the Environment,East Flatbush - Flatbush,18.9
Asthma and the Environment,Canarsie - Flatlands,21.7
Asthma and the Environment,Bensonhurst - Bay Ridge,24.5
Asthma and the Environment,Coney Island - Sheepshead Bay,30.2
Asthma and the Environment,Williamsburg - Bushwick,26.7
Asthma and the Environment,Washington Heights,17.4
Asthma and the Environment,Central Harlem - Morningside Heights,31.1
Asthma and the Environment,East Harlem,24.5
Asthma and the Environment,Upper West Side,18.7
Asthma and the Environment,Upper East Side,20
Asthma and the Environment,Chelsea - Clinton,15.5
Asthma and the Environment,Gramercy Park - Murray Hill,24.7
Asthma and the Environment,Greenwich Village - SoHo,35.2
Asthma and the Environment,Union Square - Lower East Side,34.9
Asthma and the Environment,Lower Manhattan,25.5
Asthma and the Environment,Long Island City - Astoria,23.9
Asthma and the Environment,West Queens,22.7
Asthma and the Environment,Flushing - Clearview,36
Asthma and the Environment,Bayside - Little Neck,27.2
Asthma and the Environment,Ridgewood - Forest Hills,36
Asthma and the Environment,Fresh Meadows,18.6
Asthma and the Environment,Southwest Queens,13.3
Asthma and the Environment,Jamaica,18.8
Asthma and the Environment,Southeast Queens,12.9
Asthma and the Environment,Rockaways,22.9
Asthma and the Environment,Port Richmond,20.5
Asthma and the Environment,Stapleton - St. George,24.4
Asthma and the Environment,Willowbrook,9.5
Asthma and the Environment,South Beach - Tottenville,17.4
Asthma and the Environment,Kingsbridge - Riverdale,11.03
Asthma and the Environment,Northeast Bronx,10.68
Asthma and the Environment,Fordham - Bronx Pk,11.1
Asthma and the Environment,Pelham - Throgs Neck,10.59
Asthma and the Environment,Crotona -Tremont,11.76
Asthma and the Environment,High Bridge - Morrisania,11.8
Asthma and the Environment,Hunts Point - Mott Haven,11.45
Asthma and the Environment,Greenpoint,11.93
Asthma and the Environment,Downtown - Heights - Slope,11.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,10.75
Asthma and the Environment,East New York,10.6
Asthma and the Environment,Sunset Park,11.04
Asthma and the Environment,Borough Park,10.27
Asthma and the Environment,East Flatbush - Flatbush,10.47
Asthma and the Environment,Canarsie - Flatlands,9.85
Asthma and the Environment,Bensonhurst - Bay Ridge,9.91
Asthma and the Environment,Coney Island - Sheepshead Bay,9.55
Asthma and the Environment,Williamsburg - Bushwick,11.36
Asthma and the Environment,Washington Heights,11.55
Asthma and the Environment,Central Harlem - Morningside Heights,11.6
Asthma and the Environment,East Harlem,11.55
Asthma and the Environment,Upper West Side,12.18
Asthma and the Environment,Upper East Side,12.88
Asthma and the Environment,Chelsea - Clinton,14.24
Asthma and the Environment,Gramercy Park - Murray Hill,15.03
Asthma and the Environment,Greenwich Village - SoHo,12.75
Asthma and the Environment,Union Square - Lower East Side,12.08
Asthma and the Environment,Lower Manhattan,13.06
Asthma and the Environment,Long Island City - Astoria,11.4
Asthma and the Environment,West Queens,10.99
Asthma and the Environment,Flushing - Clearview,10.16
Asthma and the Environment,Bayside - Little Neck,9.72
Asthma and the Environment,Ridgewood - Forest Hills,10.44
Asthma and the Environment,Fresh Meadows,10
Asthma and the Environment,Southwest Queens,9.96
Asthma and the Environment,Jamaica,9.95
Asthma and the Environment,Southeast Queens,9.35
Asthma and the Environment,Rockaways,8.75
Asthma and the Environment,Port Richmond,10.22
Asthma and the Environment,Stapleton - St. George,9.63
Asthma and the Environment,Willowbrook,10.1
Asthma and the Environment,South Beach - Tottenville,9.63
Asthma and the Environment,Kingsbridge - Riverdale,10.09
Asthma and the Environment,Northeast Bronx,9.65
Asthma and the Environment,Fordham - Bronx Pk,10.26
Asthma and the Environment,Pelham - Throgs Neck,9.68
Asthma and the Environment,Crotona -Tremont,10.99
Asthma and the Environment,High Bridge - Morrisania,11
Asthma and the Environment,Hunts Point - Mott Haven,10.48
Asthma and the Environment,Greenpoint,10.57
Asthma and the Environment,Downtown - Heights - Slope,10.49
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,9.93
Asthma and the Environment,East New York,9.79
Asthma and the Environment,Sunset Park,10.21
Asthma and the Environment,Borough Park,9.61
Asthma and the Environment,East Flatbush - Flatbush,9.8
Asthma and the Environment,Canarsie - Flatlands,9.12
Asthma and the Environment,Bensonhurst - Bay Ridge,9.18
Asthma and the Environment,Coney Island - Sheepshead Bay,8.89
Asthma and the Environment,Williamsburg - Bushwick,10.33
Asthma and the Environment,Washington Heights,10.71
Asthma and the Environment,Central Harlem - Morningside Heights,10.62
Asthma and the Environment,East Harlem,10.41
Asthma and the Environment,Upper West Side,11.01
Asthma and the Environment,Upper East Side,11.83
Asthma and the Environment,Chelsea - Clinton,13.21
Asthma and the Environment,Gramercy Park - Murray Hill,14.24
Asthma and the Environment,Greenwich Village - SoHo,11.56
Asthma and the Environment,Union Square - Lower East Side,10.87
Asthma and the Environment,Lower Manhattan,12.19
Asthma and the Environment,Long Island City - Astoria,10.05
Asthma and the Environment,West Queens,9.89
Asthma and the Environment,Flushing - Clearview,9.34
Asthma and the Environment,Bayside - Little Neck,8.98
Asthma and the Environment,Ridgewood - Forest Hills,9.52
Asthma and the Environment,Fresh Meadows,9.25
Asthma and the Environment,Southwest Queens,9.19
Asthma and the Environment,Jamaica,9.25
Asthma and the Environment,Southeast Queens,8.65
Asthma and the Environment,Rockaways,7.99
Asthma and the Environment,Port Richmond,9.02
Asthma and the Environment,Stapleton - St. George,8.64
Asthma and the Environment,Willowbrook,8.99
Asthma and the Environment,South Beach - Tottenville,8.71
Asthma and the Environment,Kingsbridge - Riverdale,10.65
Asthma and the Environment,Northeast Bronx,10.48
Asthma and the Environment,Fordham - Bronx Pk,10.77
Asthma and the Environment,Pelham - Throgs Neck,10.5
Asthma and the Environment,Crotona -Tremont,11.45
Asthma and the Environment,High Bridge - Morrisania,11.44
Asthma and the Environment,Hunts Point - Mott Haven,11.24
Asthma and the Environment,Greenpoint,11.51
Asthma and the Environment,Downtown - Heights - Slope,11.14
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,10.29
Asthma and the Environment,East New York,10.09
Asthma and the Environment,Sunset Park,10.84
Asthma and the Environment,Borough Park,10.07
Asthma and the Environment,East Flatbush - Flatbush,10.15
Asthma and the Environment,Canarsie - Flatlands,9.55
Asthma and the Environment,Bensonhurst - Bay Ridge,9.78
Asthma and the Environment,Coney Island - Sheepshead Bay,9.44
Asthma and the Environment,Williamsburg - Bushwick,10.88
Asthma and the Environment,Washington Heights,11.12
Asthma and the Environment,Central Harlem - Morningside Heights,11.13
Asthma and the Environment,East Harlem,11.12
Asthma and the Environment,Upper West Side,11.49
Asthma and the Environment,Upper East Side,12.1
Asthma and the Environment,Chelsea - Clinton,13.27
Asthma and the Environment,Gramercy Park - Murray Hill,13.93
Asthma and the Environment,Greenwich Village - SoHo,12.04
Asthma and the Environment,Union Square - Lower East Side,11.44
Asthma and the Environment,Lower Manhattan,12.28
Asthma and the Environment,Long Island City - Astoria,11.02
Asthma and the Environment,West Queens,10.6
Asthma and the Environment,Flushing - Clearview,10.05
Asthma and the Environment,Bayside - Little Neck,9.71
Asthma and the Environment,Ridgewood - Forest Hills,9.95
Asthma and the Environment,Fresh Meadows,9.74
Asthma and the Environment,Southwest Queens,9.43
Asthma and the Environment,Jamaica,9.57
Asthma and the Environment,Southeast Queens,9.17
Asthma and the Environment,Rockaways,8.44
Asthma and the Environment,Port Richmond,9.73
Asthma and the Environment,Stapleton - St. George,9.36
Asthma and the Environment,Willowbrook,9.63
Asthma and the Environment,South Beach - Tottenville,9.29
Asthma and the Environment,Kingsbridge - Riverdale,9.27
Asthma and the Environment,Northeast Bronx,9.11
Asthma and the Environment,Fordham - Bronx Pk,9.47
Asthma and the Environment,Pelham - Throgs Neck,9.23
Asthma and the Environment,Crotona -Tremont,10.22
Asthma and the Environment,High Bridge - Morrisania,10.26
Asthma and the Environment,Hunts Point - Mott Haven,10.02
Asthma and the Environment,Greenpoint,10.27
Asthma and the Environment,Downtown - Heights - Slope,9.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,9.13
Asthma and the Environment,East New York,8.94
Asthma and the Environment,Sunset Park,9.59
Asthma and the Environment,Borough Park,8.89
Asthma and the Environment,East Flatbush - Flatbush,8.98
Asthma and the Environment,Canarsie - Flatlands,8.37
Asthma and the Environment,Bensonhurst - Bay Ridge,8.6
Asthma and the Environment,Coney Island - Sheepshead Bay,8.3
Asthma and the Environment,Williamsburg - Bushwick,9.7
Asthma and the Environment,Washington Heights,9.89
Asthma and the Environment,Central Harlem - Morningside Heights,9.99
Asthma and the Environment,East Harlem,9.98
Asthma and the Environment,Upper West Side,10.46
Asthma and the Environment,Upper East Side,11.19
Asthma and the Environment,Chelsea - Clinton,12.42
Asthma and the Environment,Gramercy Park - Murray Hill,13.23
Asthma and the Environment,Greenwich Village - SoHo,10.99
Asthma and the Environment,Union Square - Lower East Side,10.35
Asthma and the Environment,Lower Manhattan,11.32
Asthma and the Environment,Long Island City - Astoria,9.84
Asthma and the Environment,West Queens,9.46
Asthma and the Environment,Flushing - Clearview,8.9
Asthma and the Environment,Bayside - Little Neck,8.55
Asthma and the Environment,Ridgewood - Forest Hills,8.83
Asthma and the Environment,Fresh Meadows,8.63
Asthma and the Environment,Southwest Queens,8.32
Asthma and the Environment,Jamaica,8.48
Asthma and the Environment,Southeast Queens,8.04
Asthma and the Environment,Rockaways,7.36
Asthma and the Environment,Port Richmond,8.55
Asthma and the Environment,Stapleton - St. George,8.18
Asthma and the Environment,Willowbrook,8.52
Asthma and the Environment,South Beach - Tottenville,8.28
Asthma and the Environment,Kingsbridge - Riverdale,8.88
Asthma and the Environment,Northeast Bronx,8.73
Asthma and the Environment,Fordham - Bronx Pk,9.06
Asthma and the Environment,Pelham - Throgs Neck,8.74
Asthma and the Environment,Crotona -Tremont,9.75
Asthma and the Environment,High Bridge - Morrisania,9.83
Asthma and the Environment,Hunts Point - Mott Haven,9.57
Asthma and the Environment,Greenpoint,10
Asthma and the Environment,Downtown - Heights - Slope,9.46
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,8.75
Asthma and the Environment,East New York,8.69
Asthma and the Environment,Sunset Park,9.12
Asthma and the Environment,Borough Park,8.49
Asthma and the Environment,East Flatbush - Flatbush,8.6
Asthma and the Environment,Canarsie - Flatlands,8.18
Asthma and the Environment,Bensonhurst - Bay Ridge,8.24
Asthma and the Environment,Coney Island - Sheepshead Bay,8.11
Asthma and the Environment,Williamsburg - Bushwick,9.36
Asthma and the Environment,Washington Heights,9.48
Asthma and the Environment,Central Harlem - Morningside Heights,9.7
Asthma and the Environment,East Harlem,9.73
Asthma and the Environment,Upper West Side,10.35
Asthma and the Environment,Upper East Side,11.1
Asthma and the Environment,Chelsea - Clinton,12.41
Asthma and the Environment,Gramercy Park - Murray Hill,13.2
Asthma and the Environment,Greenwich Village - SoHo,10.81
Asthma and the Environment,Union Square - Lower East Side,10.15
Asthma and the Environment,Lower Manhattan,11.06
Asthma and the Environment,Long Island City - Astoria,9.6
Asthma and the Environment,West Queens,9.13
Asthma and the Environment,Flushing - Clearview,8.39
Asthma and the Environment,Bayside - Little Neck,8.08
Asthma and the Environment,Ridgewood - Forest Hills,8.51
Asthma and the Environment,Fresh Meadows,8.21
Asthma and the Environment,Southwest Queens,8.14
Asthma and the Environment,Jamaica,8.27
Asthma and the Environment,Southeast Queens,7.85
Asthma and the Environment,Rockaways,7.61
Asthma and the Environment,Port Richmond,8.27
Asthma and the Environment,Stapleton - St. George,7.9
Asthma and the Environment,Willowbrook,8.22
Asthma and the Environment,South Beach - Tottenville,7.82
Asthma and the Environment,Kingsbridge - Riverdale,9
Asthma and the Environment,Northeast Bronx,9
Asthma and the Environment,Fordham - Bronx Pk,9.19
Asthma and the Environment,Pelham - Throgs Neck,8.97
Asthma and the Environment,Crotona -Tremont,9.82
Asthma and the Environment,High Bridge - Morrisania,9.87
Asthma and the Environment,Hunts Point - Mott Haven,9.75
Asthma and the Environment,Greenpoint,10.54
Asthma and the Environment,Downtown - Heights - Slope,9.99
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,9.16
Asthma and the Environment,East New York,9.04
Asthma and the Environment,Sunset Park,9.63
Asthma and the Environment,Borough Park,8.87
Asthma and the Environment,East Flatbush - Flatbush,8.97
Asthma and the Environment,Canarsie - Flatlands,8.48
Asthma and the Environment,Bensonhurst - Bay Ridge,8.62
Asthma and the Environment,Coney Island - Sheepshead Bay,8.37
Asthma and the Environment,Williamsburg - Bushwick,9.84
Asthma and the Environment,Washington Heights,9.49
Asthma and the Environment,Central Harlem - Morningside Heights,9.73
Asthma and the Environment,East Harlem,9.84
Asthma and the Environment,Upper West Side,10.42
Asthma and the Environment,Upper East Side,11.15
Asthma and the Environment,Chelsea - Clinton,12.53
Asthma and the Environment,Gramercy Park - Murray Hill,13.23
Asthma and the Environment,Greenwich Village - SoHo,11.17
Asthma and the Environment,Union Square - Lower East Side,10.53
Asthma and the Environment,Lower Manhattan,11.36
Asthma and the Environment,Long Island City - Astoria,9.98
Asthma and the Environment,West Queens,9.47
Asthma and the Environment,Flushing - Clearview,8.65
Asthma and the Environment,Bayside - Little Neck,8.31
Asthma and the Environment,Ridgewood - Forest Hills,8.85
Asthma and the Environment,Fresh Meadows,8.43
Asthma and the Environment,Southwest Queens,8.39
Asthma and the Environment,Jamaica,8.46
Asthma and the Environment,Southeast Queens,8.02
Asthma and the Environment,Rockaways,7.69
Asthma and the Environment,Port Richmond,8.79
Asthma and the Environment,Stapleton - St. George,8.34
Asthma and the Environment,Willowbrook,8.68
Asthma and the Environment,South Beach - Tottenville,8.2
Asthma and the Environment,Kingsbridge - Riverdale,9.17
Asthma and the Environment,Northeast Bronx,9.13
Asthma and the Environment,Fordham - Bronx Pk,9.14
Asthma and the Environment,Pelham - Throgs Neck,8.93
Asthma and the Environment,Crotona -Tremont,9.67
Asthma and the Environment,High Bridge - Morrisania,9.6
Asthma and the Environment,Hunts Point - Mott Haven,9.62
Asthma and the Environment,Greenpoint,10.49
Asthma and the Environment,Downtown - Heights - Slope,9.89
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,8.87
Asthma and the Environment,East New York,8.72
Asthma and the Environment,Sunset Park,9.45
Asthma and the Environment,Borough Park,8.44
Asthma and the Environment,East Flatbush - Flatbush,8.59
Asthma and the Environment,Canarsie - Flatlands,8.1
Asthma and the Environment,Bensonhurst - Bay Ridge,8.13
Asthma and the Environment,Coney Island - Sheepshead Bay,7.72
Asthma and the Environment,Williamsburg - Bushwick,9.61
Asthma and the Environment,Washington Heights,9.36
Asthma and the Environment,Central Harlem - Morningside Heights,9.36
Asthma and the Environment,East Harlem,9.51
Asthma and the Environment,Upper West Side,9.78
Asthma and the Environment,Upper East Side,10.2
Asthma and the Environment,Chelsea - Clinton,11.39
Asthma and the Environment,Gramercy Park - Murray Hill,11.72
Asthma and the Environment,Greenwich Village - SoHo,10.6
Asthma and the Environment,Union Square - Lower East Side,10.06
Asthma and the Environment,Lower Manhattan,10.54
Asthma and the Environment,Long Island City - Astoria,9.78
Asthma and the Environment,West Queens,9.17
Asthma and the Environment,Flushing - Clearview,8.45
Asthma and the Environment,Bayside - Little Neck,8.26
Asthma and the Environment,Ridgewood - Forest Hills,8.51
Asthma and the Environment,Fresh Meadows,8.19
Asthma and the Environment,Southwest Queens,8.05
Asthma and the Environment,Jamaica,8.2
Asthma and the Environment,Southeast Queens,7.9
Asthma and the Environment,Rockaways,7.16
Asthma and the Environment,Port Richmond,8.34
Asthma and the Environment,Stapleton - St. George,7.82
Asthma and the Environment,Willowbrook,8.01
Asthma and the Environment,South Beach - Tottenville,7.29
Asthma and the Environment,Kingsbridge - Riverdale,7.5
Asthma and the Environment,Northeast Bronx,7.55
Asthma and the Environment,Fordham - Bronx Pk,7.57
Asthma and the Environment,Pelham - Throgs Neck,7.5
Asthma and the Environment,Crotona -Tremont,8.18
Asthma and the Environment,High Bridge - Morrisania,8.16
Asthma and the Environment,Hunts Point - Mott Haven,8.26
Asthma and the Environment,Greenpoint,9.46
Asthma and the Environment,Downtown - Heights - Slope,8.86
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,7.94
Asthma and the Environment,East New York,7.8
Asthma and the Environment,Sunset Park,8.4
Asthma and the Environment,Borough Park,7.45
Asthma and the Environment,East Flatbush - Flatbush,7.64
Asthma and the Environment,Canarsie - Flatlands,7.12
Asthma and the Environment,Bensonhurst - Bay Ridge,7.11
Asthma and the Environment,Coney Island - Sheepshead Bay,6.75
Asthma and the Environment,Williamsburg - Bushwick,8.67
Asthma and the Environment,Washington Heights,7.81
Asthma and the Environment,Central Harlem - Morningside Heights,7.95
Asthma and the Environment,East Harlem,8.19
Asthma and the Environment,Upper West Side,8.49
Asthma and the Environment,Upper East Side,9.07
Asthma and the Environment,Chelsea - Clinton,10.32
Asthma and the Environment,Gramercy Park - Murray Hill,10.76
Asthma and the Environment,Greenwich Village - SoHo,9.52
Asthma and the Environment,Union Square - Lower East Side,9.02
Asthma and the Environment,Lower Manhattan,9.53
Asthma and the Environment,Long Island City - Astoria,8.65
Asthma and the Environment,West Queens,8.14
Asthma and the Environment,Flushing - Clearview,7.22
Asthma and the Environment,Bayside - Little Neck,6.88
Asthma and the Environment,Ridgewood - Forest Hills,7.56
Asthma and the Environment,Fresh Meadows,7.03
Asthma and the Environment,Southwest Queens,7.02
Asthma and the Environment,Jamaica,6.99
Asthma and the Environment,Southeast Queens,6.51
Asthma and the Environment,Rockaways,5.98
Asthma and the Environment,Port Richmond,7.3
Asthma and the Environment,Stapleton - St. George,6.8
Asthma and the Environment,Willowbrook,7.1
Asthma and the Environment,South Beach - Tottenville,6.59
Asthma and the Environment,Kingsbridge - Riverdale,7.41
Asthma and the Environment,Northeast Bronx,7.46
Asthma and the Environment,Fordham - Bronx Pk,7.52
Asthma and the Environment,Pelham - Throgs Neck,7.52
Asthma and the Environment,Crotona -Tremont,8.16
Asthma and the Environment,High Bridge - Morrisania,8.16
Asthma and the Environment,Hunts Point - Mott Haven,8.26
Asthma and the Environment,Greenpoint,8.98
Asthma and the Environment,Downtown - Heights - Slope,8.35
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,7.53
Asthma and the Environment,East New York,7.52
Asthma and the Environment,Sunset Park,8.09
Asthma and the Environment,Borough Park,7.27
Asthma and the Environment,East Flatbush - Flatbush,7.36
Asthma and the Environment,Canarsie - Flatlands,7.02
Asthma and the Environment,Bensonhurst - Bay Ridge,7.06
Asthma and the Environment,Coney Island - Sheepshead Bay,6.83
Asthma and the Environment,Williamsburg - Bushwick,8.22
Asthma and the Environment,Washington Heights,7.79
Asthma and the Environment,Central Harlem - Morningside Heights,7.93
Asthma and the Environment,East Harlem,8.11
Asthma and the Environment,Upper West Side,8.33
Asthma and the Environment,Upper East Side,8.85
Asthma and the Environment,Chelsea - Clinton,9.91
Asthma and the Environment,Gramercy Park - Murray Hill,10.33
Asthma and the Environment,Greenwich Village - SoHo,9.02
Asthma and the Environment,Union Square - Lower East Side,8.52
Asthma and the Environment,Lower Manhattan,9.01
Asthma and the Environment,Long Island City - Astoria,8.42
Asthma and the Environment,West Queens,7.93
Asthma and the Environment,Flushing - Clearview,7.27
Asthma and the Environment,Bayside - Little Neck,7.03
Asthma and the Environment,Ridgewood - Forest Hills,7.32
Asthma and the Environment,Fresh Meadows,7.05
Asthma and the Environment,Southwest Queens,6.94
Asthma and the Environment,Jamaica,7.08
Asthma and the Environment,Southeast Queens,6.75
Asthma and the Environment,Rockaways,6.32
Asthma and the Environment,Port Richmond,7.19
Asthma and the Environment,Stapleton - St. George,6.8
Asthma and the Environment,Willowbrook,7.05
Asthma and the Environment,South Beach - Tottenville,6.58
Asthma and the Environment,Kingsbridge - Riverdale,6.95
Asthma and the Environment,Northeast Bronx,6.99
Asthma and the Environment,Fordham - Bronx Pk,7.19
Asthma and the Environment,Pelham - Throgs Neck,7
Asthma and the Environment,Crotona -Tremont,7.53
Asthma and the Environment,High Bridge - Morrisania,7.68
Asthma and the Environment,Hunts Point - Mott Haven,7.85
Asthma and the Environment,Greenpoint,8.72
Asthma and the Environment,Downtown - Heights - Slope,7.85
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,7.27
Asthma and the Environment,East New York,7.06
Asthma and the Environment,Sunset Park,7.72
Asthma and the Environment,Borough Park,6.99
Asthma and the Environment,East Flatbush - Flatbush,7.04
Asthma and the Environment,Canarsie - Flatlands,6.7
Asthma and the Environment,Bensonhurst - Bay Ridge,6.67
Asthma and the Environment,Coney Island - Sheepshead Bay,6.55
Asthma and the Environment,Williamsburg - Bushwick,8.11
Asthma and the Environment,Washington Heights,7.32
Asthma and the Environment,Central Harlem - Morningside Heights,7.53
Asthma and the Environment,East Harlem,7.39
Asthma and the Environment,Upper West Side,8.16
Asthma and the Environment,Upper East Side,8.68
Asthma and the Environment,Chelsea - Clinton,9.97
Asthma and the Environment,Gramercy Park - Murray Hill,10.3
Asthma and the Environment,Greenwich Village - SoHo,8.79
Asthma and the Environment,Union Square - Lower East Side,8.14
Asthma and the Environment,Lower Manhattan,8.94
Asthma and the Environment,Long Island City - Astoria,8.16
Asthma and the Environment,West Queens,7.57
Asthma and the Environment,Flushing - Clearview,6.9
Asthma and the Environment,Bayside - Little Neck,6.48
Asthma and the Environment,Ridgewood - Forest Hills,6.99
Asthma and the Environment,Fresh Meadows,6.55
Asthma and the Environment,Southwest Queens,6.56
Asthma and the Environment,Jamaica,6.69
Asthma and the Environment,Southeast Queens,6.42
Asthma and the Environment,Rockaways,6.06
Asthma and the Environment,Port Richmond,6.78
Asthma and the Environment,Stapleton - St. George,6.36
Asthma and the Environment,Willowbrook,6.63
Asthma and the Environment,South Beach - Tottenville,6.18
Asthma and the Environment,Kingsbridge - Riverdale,6.71
Asthma and the Environment,Northeast Bronx,6.68
Asthma and the Environment,Fordham - Bronx Pk,6.7
Asthma and the Environment,Pelham - Throgs Neck,6.74
Asthma and the Environment,Crotona -Tremont,7.23
Asthma and the Environment,High Bridge - Morrisania,7.14
Asthma and the Environment,Hunts Point - Mott Haven,7.52
Asthma and the Environment,Greenpoint,8.56
Asthma and the Environment,Downtown - Heights - Slope,7.44
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,6.61
Asthma and the Environment,East New York,6.56
Asthma and the Environment,Sunset Park,7.32
Asthma and the Environment,Borough Park,6.32
Asthma and the Environment,East Flatbush - Flatbush,6.31
Asthma and the Environment,Canarsie - Flatlands,6.15
Asthma and the Environment,Bensonhurst - Bay Ridge,6.21
Asthma and the Environment,Coney Island - Sheepshead Bay,6.04
Asthma and the Environment,Williamsburg - Bushwick,7.5
Asthma and the Environment,Washington Heights,7.11
Asthma and the Environment,Central Harlem - Morningside Heights,7
Asthma and the Environment,East Harlem,7.11
Asthma and the Environment,Upper West Side,7.38
Asthma and the Environment,Upper East Side,8
Asthma and the Environment,Chelsea - Clinton,10.21
Asthma and the Environment,Gramercy Park - Murray Hill,10.09
Asthma and the Environment,Greenwich Village - SoHo,9.65
Asthma and the Environment,Union Square - Lower East Side,8.87
Asthma and the Environment,Lower Manhattan,8.23
Asthma and the Environment,Long Island City - Astoria,7.99
Asthma and the Environment,West Queens,7.35
Asthma and the Environment,Flushing - Clearview,6.61
Asthma and the Environment,Bayside - Little Neck,6.21
Asthma and the Environment,Ridgewood - Forest Hills,6.56
Asthma and the Environment,Fresh Meadows,6.16
Asthma and the Environment,Southwest Queens,6.19
Asthma and the Environment,Jamaica,6.24
Asthma and the Environment,Southeast Queens,6.01
Asthma and the Environment,Rockaways,5.59
Asthma and the Environment,Port Richmond,6.34
Asthma and the Environment,Stapleton - St. George,5.9
Asthma and the Environment,Willowbrook,5.96
Asthma and the Environment,South Beach - Tottenville,5.81
Asthma and the Environment,Kingsbridge - Riverdale,5.89
Asthma and the Environment,Northeast Bronx,5.95
Asthma and the Environment,Fordham - Bronx Pk,6
